Unnamed: 0,name,loyalty,date
114,BurningKarma,2801.0,2021-11-22 15:38:00
115,BurningKarma,3001.0,2021-11-22 18:30:00
116,BurningKarma,3201.0,2021-11-22 22:43:00
117,BurningKarma,3401.0,2021-11-23 08:40:00
118,BurningKarma,3501.0,2021-11-23 09:47:00
119,BurningKarma,3601.0,2021-11-23 14:57:00
120,BurningKarma,3701.0,2021-11-23 16:17:00
121,BurningKarma,3801.0,2021-11-23 18:40:00
122,BurningKarma,3901.0,2021-11-23 21:28:00
123,BurningKarma,4301.0,2021-11-24 16:41:00
124,BurningKarma,4501.0,2021-11-25 12:43:00
125,BurningKarma,4801.0,2021-11-26 20:41:00
126,BurningKarma,4901.0,2021-11-27 09:53:00
127,BurningKarma,5001.0,2021-11-27 17:56:00
128,BurningKarma,5101.0,2021-11-28 09:40:00
129,BurningKarma,5201.0,2021-11-28 22:46:00
130,BurningKarma,5401.0,2021-11-30 09:45:00
131,BurningKarma,5501.0,2021-11-30 15:35:00
132,BurningKarma,5601.0,2021-12-01 14:51:00
133,BurningKarma,6101.0,2021-12-05 11:41:00
134,BurningKarma,6201.0,2021-12-06 16:24:00
135,BurningKarma,6301.0,2021-12-07 18:00:00
136,BurningKarma,6401.0,2021-12-08 13:59:00
137,BurningKarma,6501.0,2021-12-10 12:53:00
138,BurningKarma,6601.0,2021-12-10 22:30:00
139,BurningKarma,6901.0,2021-12-14 00:31:00
140,BurningKarma,7001.0,2021-12-15 08:32:00
141,BurningKarma,7201.0,2021-12-18 12:04:00
142,MiSTER,1800.0,2021-11-22 08:43:00
143,MiSTER,2801.0,2021-11-23 09:20:00
144,MiSTER,3401.0,2021-11-23 22:20:00
145,MiSTER,3601.0,2021-11-24 07:49:00
146,MiSTER,3901.0,2021-11-24 14:09:00
147,MiSTER,4001.0,2021-11-24 15:51:00
148,MiSTER,4401.0,2021-11-25 14:21:00
149,MiSTER,4501.0,2021-11-25 18:03:00
150,MiSTER,4701.0,2021-11-26 11:46:00
151,MiSTER,5001.0,2021-11-27 17:47:00
152,MiSTER,5201.0,2021-11-28 09:16:00
153,MiSTER,5301.0,2021-11-28 14:42:00
154,MiSTER,5401.0,2021-11-29 08:01:00
155,MiSTER,5801.0,2021-12-01 13:43:00
156,MiSTER,6601.0,2021-12-07 10:52:00
157,MiSTER,6801.0,2021-12-08 16:26:00
158,MiSTER,6901.0,2021-12-10 06:24:00
159,MiSTER,7141.0,2021-12-13 18:05:00
160,MiSTER,6701.0,2021-12-20 10:50:00
161,MiSTER,6801.0,2021-12-21 13:33:00
162,MiSTER,7201.0,2021-12-27 06:34:00
163,MiSTER,7301.0,2021-12-27 12:59:00
164,MiSTER,7701.0,2022-01-06 19:31:45
165,Doge of Woofstreet,2301.0,2021-11-22 04:22:00
166,Doge of Woofstreet,2600.0,2021-11-22 09:56:00
167,Doge of Woofstreet,3201.0,2021-11-22 20:18:00
168,Doge of Woofstreet,3701.0,2021-11-23 12:41:00
169,Doge of Woofstreet,3901.0,2021-11-24 08:59:00
170,Doge of Woofstreet,4201.0,2021-11-24 10:17:00
171,Doge of Woofstreet,4701.0,2021-11-26 20:29:00
172,Doge of Woofstreet,4901.0,2021-11-28 03:25:00
173,Doge of Woofstreet,5301.0,2021-11-29 08:30:00
174,Doge of Woofstreet,5501.0,2021-11-29 23:11:00
175,Doge of Woofstreet,5801.0,2021-12-02 01:47:00
176,Doge of Woofstreet,6101.0,2021-12-04 07:30:00
177,Doge of Woofstreet,6201.0,2021-12-04 22:07:00
178,Doge of Woofstreet,6601.0,2021-12-07 22:22:00
179,Doge of Woofstreet,6701.0,2021-12-09 03:36:00
180,Doge of Woofstreet,6801.0,2021-12-09 22:27:00
181,Doge of Woofstreet,6901.0,2021-12-10 20:44:00
182,Doge of Woofstreet,7001.0,2021-12-11 21:20:00
183,Doge of Woofstreet,7101.0,2021-12-14 06:27:00
184,Doge of Woofstreet,7501.0,2021-12-17 01:07:00
185,Doge of Woofstreet,7701.0,2021-12-19 12:54:00
186,Doge of Woofstreet,7901.0,2021-12-23 11:44:00
187,suggysugg,1801.0,2021-11-22 05:42:00
188,suggysugg,4901.0,2021-11-27 08:38:00
189,suggysugg,5001.0,2021-11-27 20:03:00
190,suggysugg,5101.0,2021-11-28 10:36:00
191,suggysugg,5201.0,2021-11-28 18:20:00
192,suggysugg,5301.0,2021-11-29 10:06:00
193,suggysugg,5401.0,2021-11-29 15:16:00
194,suggysugg,5501.0,2021-11-30 05:57:00
195,suggysugg,5701.0,2021-12-01 16:31:00
196,suggysugg,5901.0,2021-12-02 15:15:00
197,suggysugg,6001.0,2021-12-03 05:51:00
198,suggysugg,6101.0,2021-12-03 09:29:00
199,suggysugg,6201.0,2021-12-04 05:15:00
200,suggysugg,6301.0,2021-12-05 04:23:00
201,suggysugg,6501.0,2021-12-06 18:31:00
202,suggysugg,7001.0,2021-12-11 15:54:00
203,suggysugg,7101.0,2021-12-12 14:24:00
204,suggysugg,7301.0,2021-12-14 18:15:00
205,suggysugg,7501.0,2021-12-16 10:27:00
206,suggysugg,7901.0,2021-12-20 12:34:00
207,suggysugg,8001.0,2021-12-21 20:26:00
208,suggysugg,7701.0,2022-01-05 07:23:00
209,Rezenator,1701.0,2021-11-22 01:37:00
210,Rezenator,1801.0,2021-11-22 01:38:00
211,Rezenator,1901.0,2021-11-22 01:49:00
212,Rezenator,2201.0,2021-11-22 07:35:00
213,Rezenator,2301.0,2021-11-22 19:25:00
214,Rezenator,2701.0,2021-11-22 20:42:00
215,Rezenator,2901.0,2021-11-23 03:10:00
216,Rezenator,3101.0,2021-11-23 14:28:00
217,Rezenator,3301.0,2021-11-23 17:23:00
218,Rezenator,3601.0,2021-11-24 03:52:00
219,Rezenator,3801.0,2021-11-24 06:51:00
220,Rezenator,3901.0,2021-11-24 15:56:00
221,Rezenator,4001.0,2021-11-24 20:47:00
222,Rezenator,4101.0,2021-11-25 19:31:00
223,Rezenator,4401.0,2021-11-26 19:23:00
224,Rezenator,4601.0,2021-11-27 01:57:00
225,Rezenator,4701.0,2021-11-27 19:23:00
226,Rezenator,4801.0,2021-11-27 20:12:00
227,Rezenator,4901.0,2021-11-28 15:05:00
228,Rezenator,5001.0,2021-11-29 17:42:00
229,Rezenator,5101.0,2021-11-29 21:17:00
230,Rezenator,5201.0,2021-11-30 17:57:00
231,Rezenator,5301.0,2021-12-01 03:40:00
232,Rezenator,5601.0,2021-12-02 23:26:00
233,Rezenator,5701.0,2021-12-04 18:26:00
234,Rezenator,5901.0,2021-12-05 06:34:00
235,Rezenator,6001.0,2021-12-06 06:09:00
236,Rezenator,6101.0,2021-12-07 02:44:00
237,Rezenator,6301.0,2021-12-08 01:36:00
238,Rezenator,6401.0,2021-12-09 05:19:00
239,Rezenator,6601.0,2021-12-11 05:31:00
240,Rezenator,7101.0,2021-12-15 23:09:00
241,Rezenator,7201.0,2021-12-17 18:17:00
242,Rezenator,7301.0,2021-12-19 16:26:00
243,Rezenator,7601.0,2021-12-21 18:55:00
244,Rezenator,7901.0,2021-12-25 17:16:00
245,Rezenator,8001.0,2021-12-26 07:18:00
246,Weißer Wanderer,1800.0,2021-11-22 06:39:00
247,Weißer Wanderer,1901.0,2021-11-22 07:13:00
248,Weißer Wanderer,2001.0,2021-11-22 07:58:00
249,Weißer Wanderer,2101.0,2021-11-22 07:58:00
250,Weißer Wanderer,2301.0,2021-11-22 10:11:00
251,Weißer Wanderer,2701.0,2021-11-22 15:42:00
252,Weißer Wanderer,3101.0,2021-11-23 05:31:00
253,Weißer Wanderer,4901.0,2021-11-26 19:53:00
254,Pickle (Rbc-232),2101.0,2021-11-22 12:19:00
255,Pickle (Rbc-232),2501.0,2021-11-22 16:58:00
256,Pickle (Rbc-232),2601.0,2021-11-22 17:31:00
257,Pickle (Rbc-232),3001.0,2021-11-23 01:43:00
258,Pickle (Rbc-232),3101.0,2021-11-23 04:17:00
259,Pickle (Rbc-232),3301.0,2021-11-23 10:54:00
260,Pickle (Rbc-232),3501.0,2021-11-23 18:07:00
261,Pickle (Rbc-232),3601.0,2021-11-24 10:09:00
262,Pickle (Rbc-232),3701.0,2021-11-24 11:08:00
263,Pickle (Rbc-232),3801.0,2021-11-24 15:36:00
264,Pickle (Rbc-232),3901.0,2021-11-24 19:07:00
265,Pickle (Rbc-232),4001.0,2021-11-24 22:06:00
266,Pickle (Rbc-232),4101.0,2021-11-25 13:30:00
267,Pickle (Rbc-232),4301.0,2021-11-25 22:58:00
268,Pickle (Rbc-232),4801.0,2021-11-27 23:57:00
269,Pickle (Rbc-232),4901.0,2021-11-28 22:40:00
270,Pickle (Rbc-232),5001.0,2021-11-29 14:56:00
271,Pickle (Rbc-232),6101.0,2021-12-06 16:00:00
272,Pickle (Rbc-232),6201.0,2021-12-07 18:53:00
273,Pickle (Rbc-232),6301.0,2021-12-08 11:39:00
274,Pickle (Rbc-232),6401.0,2021-12-09 14:39:00
275,Pickle (Rbc-232),6601.0,2021-12-11 16:09:00
276,Pickle (Rbc-232),6801.0,2021-12-13 17:06:00
277,Pickle (Rbc-232),6901.0,2021-12-14 23:50:00
278,Pickle (Rbc-232),7201.0,2021-12-18 20:30:00
279,Pickle (Rbc-232),7301.0,2021-12-20 21:47:00
280,Pickle (Rbc-232),7401.0,2021-12-22 15:43:00
281,Ltrain,3201.0,2021-11-22 14:50:00
282,Ltrain,3301.0,2021-11-22 16:32:00
283,Ltrain,3401.0,2021-11-22 18:46:00
284,Ltrain,3601.0,2021-11-22 23:08:00
285,Ltrain,3901.0,2021-11-23 09:38:00
286,Ltrain,4001.0,2021-11-23 10:47:00
287,Ltrain,4101.0,2021-11-23 12:36:00
288,Ltrain,4201.0,2021-11-23 15:27:00
289,Ltrain,4301.0,2021-11-23 19:31:00
290,Ltrain,4401.0,2021-11-24 01:15:00
291,Ltrain,4501.0,2021-11-24 06:37:00
292,Ltrain,4601.0,2021-11-24 14:44:00
293,Ltrain,4801.0,2021-11-25 00:09:00
294,Ltrain,5001.0,2021-11-25 17:34:00
295,Ltrain,5201.0,2021-11-26 15:18:00
296,Ltrain,5401.0,2021-11-27 11:15:00
297,Ltrain,5501.0,2021-11-27 22:51:00
298,Ltrain,5701.0,2021-11-28 15:20:00
299,Ltrain,5801.0,2021-11-29 09:43:00
300,Ltrain,5901.0,2021-11-29 18:32:00
301,Ltrain,6001.0,2021-11-30 02:46:00
302,Ltrain,6301.0,2021-12-01 22:19:00
303,Ltrain,6601.0,2021-12-03 17:57:00
304,Ltrain,6801.0,2021-12-05 11:50:00
305,Ltrain,7001.0,2021-12-07 06:48:00
306,Ltrain,7101.0,2021-12-08 01:03:00
307,Ltrain,7501.0,2021-12-11 20:16:00
308,Ltrain,7601.0,2021-12-13 14:16:00
309,Ltrain,7201.0,2021-12-15 11:41:00
310,Ltrain,7301.0,2021-12-27 11:22:00
311,Ltrain,7601.0,2022-01-07 01:28:38
312,Duckenator,1801.0,2021-11-22 19:57:00
313,Duckenator,2701.0,2021-11-23 20:10:00
314,Duckenator,3001.0,2021-11-24 23:49:00
315,Duckenator,3801.0,2021-11-27 14:16:00
316,Duckenator,4801.0,2021-12-03 17:23:00
317,Duckenator,5201.0,2021-12-08 17:11:00
318,Duckenator,5601.0,2021-12-11 03:22:00
319,Duckenator,6401.0,2021-12-20 01:30:00
320,Magog X,2401.0,2021-11-22 08:55:00
321,Magog X,2601.0,2021-11-22 09:49:00
322,Magog X,2801.0,2021-11-22 10:58:00
323,Magog X,2901.0,2021-11-22 11:49:00
324,Magog X,3001.0,2021-11-22 13:50:00
325,Magog X,3101.0,2021-11-22 15:51:00
326,Magog X,3201.0,2021-11-22 18:02:00
327,Magog X,3301.0,2021-11-22 19:01:00
328,Magog X,3501.0,2021-11-23 04:49:00
329,Magog X,3601.0,2021-11-23 07:27:00
330,Magog X,3700.0,2021-11-23 09:34:00
331,Magog X,3701.0,2021-11-23 09:34:00
332,Magog X,3801.0,2021-11-23 11:30:00
333,Magog X,3901.0,2021-11-23 13:26:00
334,Magog X,4001.0,2021-11-23 17:44:00
335,Magog X,4101.0,2021-11-24 08:04:00
336,Magog X,4201.0,2021-11-24 09:54:00
337,Magog X,4301.0,2021-11-24 17:46:00
338,Magog X,4401.0,2021-11-24 19:14:00
339,Magog X,4501.0,2021-11-25 08:03:00
340,Magog X,4601.0,2021-11-25 12:00:00
341,Magog X,4701.0,2021-11-25 15:37:00
342,Magog X,4801.0,2021-11-26 06:27:00
343,Magog X,4901.0,2021-11-26 09:57:00
344,Magog X,5001.0,2021-11-26 15:29:00
345,Magog X,5101.0,2021-11-27 07:02:00
346,Magog X,5201.0,2021-11-27 13:42:00
347,Magog X,5301.0,2021-11-27 19:40:00
348,Magog X,5401.0,2021-11-28 05:12:00
349,Magog X,5501.0,2021-11-28 15:22:00
350,Magog X,5601.0,2021-11-29 10:09:00
351,Magog X,5701.0,2021-11-29 18:58:00
352,Magog X,5801.0,2021-11-30 10:02:00
353,Magog X,5901.0,2021-12-01 05:12:00
354,Magog X,6001.0,2021-12-01 14:42:00
355,Magog X,6101.0,2021-12-02 08:06:00
356,Magog X,6201.0,2021-12-02 16:47:00
357,Magog X,6301.0,2021-12-03 08:52:00
358,Magog X,6401.0,2021-12-04 08:40:00
359,Magog X,6501.0,2021-12-05 06:10:00
360,Magog X,6601.0,2021-12-06 06:25:00
361,Magog X,6701.0,2021-12-07 09:09:00
362,Magog X,6801.0,2021-12-08 07:34:00
363,Magog X,6901.0,2021-12-09 05:12:00
364,Magog X,7001.0,2021-12-09 17:45:00
365,Magog X,7101.0,2021-12-10 17:41:00
366,Magog X,7201.0,2021-12-12 09:15:00
367,Magog X,7301.0,2021-12-14 05:51:00
368,Magog X,7401.0,2021-12-16 13:53:00
369,Magog X,7501.0,2021-12-18 04:45:00
370,Magog X,7601.0,2021-12-19 11:10:00
371,Magog X,7700.0,2021-12-21 09:39:00
372,Magog X,7701.0,2021-12-21 09:39:00
373,Magog X,7801.0,2021-12-22 19:39:00
374,Magog X,7901.0,2021-12-25 04:57:00
375,Magog X,8001.0,2021-12-27 07:31:00
376,Magog X,8101.0,2021-12-30 06:54:00
377,Magog X,8301.0,2022-01-02 08:29:00
378,Magog X,7401.0,2022-01-02 10:48:00
379,Magog X,7601.0,2022-01-04 06:29:00
380,Magog X,7801.0,2022-01-06 16:31:42
381,Magog X,7901.0,2022-01-07 11:05:34
382,DARKPASSENGER,4400.0,2021-11-24 05:55:00
383,DARKPASSENGER,4800.0,2021-11-25 10:39:00
384,DARKPASSENGER,5301.0,2021-11-27 09:41:00
385,DARKPASSENGER,5601.0,2021-11-29 06:52:00
386,DARKPASSENGER,7701.0,2021-12-21 10:15:00
387,Rhino,3101.0,2021-11-22 16:34:00
388,Rhino,4501.0,2021-11-26 02:19:00
389,Rhino,4800.0,2021-11-28 10:30:00
390,Rhino,4081.0,2021-11-28 10:30:00
391,Rhino,5301.0,2021-11-29 14:35:00
392,Rhino,5601.0,2021-12-01 10:27:00
393,Rhino,5701.0,2021-12-02 11:19:00
394,Rhino,5901.0,2021-12-03 08:51:00
395,Rhino,6401.0,2021-12-06 17:16:00
396,Rhino,7401.0,2021-12-18 20:34:00
397,LordEdWolf,1500.0,2021-11-22 02:47:00
398,LordEdWolf,2400.0,2021-11-22 16:12:00
399,LordEdWolf,2701.0,2021-11-22 23:49:00
400,LordEdWolf,3301.0,2021-11-23 13:16:00
401,LordEdWolf,4201.0,2021-11-25 20:10:00
402,LordEdWolf,4801.0,2021-11-28 23:22:00
403,LordEdWolf,6301.0,2021-12-08 19:52:00
404,PAPOKEN,4800.0,2021-11-24 23:40:00
405,PAPOKEN,4801.0,2021-11-24 23:40:00
406,PAPOKEN,6301.0,2021-12-01 16:18:00
407,PAPOKEN,6401.0,2021-12-01 16:33:00
